,index,ISOCode,RSA,PLAN
96,96,MMR,711534.3453635602,668961.9633833538
97,97,IDN,1850372.4895610458,1888644.6237132915
98,98,PRT,116467.1752662964,91851.9239335512
99,99,WLF,49.69805703090116,175.00410631740195
100,100,BDI,26401.500304439203,26842.990776167135
101,101,TLS,14401.044178437496,14888.475760390218
102,102,IRN,2028888.431972043,1678858.919353635
103,103,WSM,2655.3766953420713,2876.8170370570765
104,104,GNB,32452.704433562227,33937.52377602607
105,105,BLR,345029.87634457916,207617.86883806926
106,106,PRI,8952.238241061676,9028.649195478834
107,107,IRQ,521503.7832180738,436977.23941342894
108,108,KHM,184720.65477962335,181418.43717960382
109,109,QAT,12098.6762989508,11679.77594603722
110,110,IRL,110911.00345898744,69856.0261593477
111,111,CMR,467017.04959212895,465243.1787366383
112,112,REU,2521.3872588894505,2544.0337769056387
113,113,YEM,477582.78818175563,453627.0752207096
114,114,ISR,23403.22535891056,20768.573986440868
115,115,ZMB,772916.9200456343,750897.1385489312
116,116,CAN,20764437.438679013,9975083.61910229
117,117,ROU,340309.50725923304,238380.07072347097
118,118,ITA,406666.2226552905,300935.2662400413
119,119,RWA,25222.444903758187,25379.093072547566
120,120,CIV,323666.2746567381,321688.3263041922
121,121,RUS,36238574.260780364,17002062.83694789
122,122,CPV,3401.724674224193,4063.01813317152
123,123,PAK,912745.1523175391,793586.8079045281
124,124,JAM,11105.939108595207,11024.646016580813
125,125,PLW,281.9720281745248,459.3586125659326
126,126,MHL,0.0,198.51750157598045
127,127,FSM,374.9691221655917,691.4041087115204
128,128,USA,13828419.967794754,9500927.488480136
129,129,BWA,624404.7904485295,578039.1516829216
130,130,GUY,210809.73182789577,211533.56112599772
131,131,HMD,514.7927647454571,380.18328223210887
132,132,BRA,8746017.312447203,8483783.85024082
133,133,HTI,27220.50351743568,26950.838390345132
134,134,VIR,200.31834413580629,355.49320493897113
135,135,PAN,71886.96556418393,74524.88517849529
136,136,PNG,459075.4541929601,463357.11910072336
137,137,BFA,278458.6859037537,273240.7434821389
138,138,VAT,0.0,0.5589045943627451
139,139,BLZ,22302.148622064513,22149.58522977021
140,140,HND,114941.65569142262,112704.50644499554
141,141,URY,210557.3342548157,178141.59200451916
142,142,PRY,433456.3331148525,399228.47381507466
143,143,SLB,24551.803765643548,28712.658044581774
144,144,HKG,734.4271219470698,1081.4033908458216
145,145,VEN,918705.3711872542,912171.3490650654
146,146,PER,1321691.733768946,1292760.0857714443
147,147,UZB,597190.843477376,448917.4042163149
148,148,VGB,41.58725995879538,169.74213910857856
149,149,HUN,134706.65368842357,93007.61982050825
150,150,PHL,286865.7312021386,295211.3022779039
151,151,BRN,5417.23921687254,5898.39190092922
152,152,ISL,233732.09839621,102680.2004459416
153,153,PCN,20.79235055646991,53.23668990024511
154,154,BGR,149852.3738123282,111076.39405661864
155,155,SAU,2123313.186908327,1925590.7826633817
156,156,IND,3237167.0459398087,2978173.945727019
157,157,COL,1145563.482714238,1138116.5683324796
158,158,LSO,36409.751229831556,30573.407203254552
159,159,SEN,201509.09600536292,196789.27707805287
160,160,COM,1364.6425542831334,1652.3127833762119
161,161,LBR,95283.10399389833,95951.53532593213
162,162,SYC,163.48902564150677,475.0509704485294
163,163,LVA,115650.06109017758,64583.632723102455
164,164,COG,340751.8670859639,342387.6376572453
165,165,SRB,121416.09867315566,88454.25600833277
166,166,LBY,1820620.3799152551,1616527.344446059
167,167,SLE,72138.11483268796,72501.8700007825
168,168,MYT,266.5830449821252,386.00674175343283
169,169,LIE,174.13602837349762,159.93481269215715
170,170,COD,2348220.375136266,2329778.7468257835
171,171,LUX,3712.409608068577,2595.6193010563684
172,172,COK,107.07276120102495,248.51567153406876
173,173,SGP,449.33167893048136,593.6680990926494
174,174,LTU,111985.12568673196,65293.90073378276
175,175,MAC,0.7878969305156417,24.33557808431374
176,176,CRI,50988.082722896084,51160.42383422006
177,177,SOM,638957.7866274293,633186.394634759
178,178,SVN,28384.287267798038,20267.88635273223
179,179,VNM,339654.12881758926,327564.78624218976
180,180,MDG,627427.4215077122,591757.5290162867
181,181,SVK,72992.61493660847,49024.59423312225
182,182,CUB,113567.84229545061,110773.76903183287
183,183,ZAF,1407129.235128479,1220033.414422581
184,184,HRV,74727.46183952324,56457.03893075132
