,index,ISOCode,RSA,PLAN,contry_index,variable,group_rsa,sum_rsa,group_plan,sum_plan
68,17,MTQ,"{'groups': [{'group': 4.0, 'sum': 177.96164432081463}]}","{'groups': [{'group': 4.0, 'sum': 170.18328856249968}]}",17,0,4.0,177.96164432081463,4.0,170.18328856249968
69,17,MTQ,"{'groups': [{'group': 4.0, 'sum': 177.96164432081463}]}","{'groups': [{'group': 4.0, 'sum': 170.18328856249968}]}",17,1,,,,
70,17,MTQ,"{'groups': [{'group': 4.0, 'sum': 177.96164432081463}]}","{'groups': [{'group': 4.0, 'sum': 170.18328856249968}]}",17,2,,,,
71,17,MTQ,"{'groups': [{'group': 4.0, 'sum': 177.96164432081463}]}","{'groups': [{'group': 4.0, 'sum': 170.18328856249968}]}",17,3,,,,
72,18,ESH,"{'groups': [{'group': 4.0, 'sum': 997.6863678132858}]}","{'groups': [{'group': 4.0, 'sum': 949.9142200722961}]}",18,0,4.0,997.6863678132858,4.0,949.9142200722961
73,18,ESH,"{'groups': [{'group': 4.0, 'sum': 997.6863678132858}]}","{'groups': [{'group': 4.0, 'sum': 949.9142200722961}]}",18,1,,,,
74,18,ESH,"{'groups': [{'group': 4.0, 'sum': 997.6863678132858}]}","{'groups': [{'group': 4.0, 'sum': 949.9142200722961}]}",18,2,,,,
75,18,ESH,"{'groups': [{'group': 4.0, 'sum': 997.6863678132858}]}","{'groups': [{'group': 4.0, 'sum': 949.9142200722961}]}",18,3,,,,
76,19,SLV,"{'groups': [{'group': 3.0, 'sum': 25.27104501656258}, {'group': 4.0, 'sum': 12136.738146134}]}","{'groups': [{'group': 3.0, 'sum': 29.184886512009797}, {'group': 4.0, 'sum': 11907.17394612559}]}",19,0,3.0,25.27104501656258,3.0,29.184886512009797
77,19,SLV,"{'groups': [{'group': 3.0, 'sum': 25.27104501656258}, {'group': 4.0, 'sum': 12136.738146134}]}","{'groups': [{'group': 3.0, 'sum': 29.184886512009797}, {'group': 4.0, 'sum': 11907.17394612559}]}",19,1,4.0,12136.738146134,4.0,11907.17394612559
78,19,SLV,"{'groups': [{'group': 3.0, 'sum': 25.27104501656258}, {'group': 4.0, 'sum': 12136.738146134}]}","{'groups': [{'group': 3.0, 'sum': 29.184886512009797}, {'group': 4.0, 'sum': 11907.17394612559}]}",19,2,,,,
79,19,SLV,"{'groups': [{'group': 3.0, 'sum': 25.27104501656258}, {'group': 4.0, 'sum': 12136.738146134}]}","{'groups': [{'group': 3.0, 'sum': 29.184886512009797}, {'group': 4.0, 'sum': 11907.17394612559}]}",19,3,,,,
80,20,MRT,"{'groups': [{'group': 4.0, 'sum': 7368.834275599028}]}","{'groups': [{'group': 4.0, 'sum': 6884.0780935825715}]}",20,0,4.0,7368.834275599028,4.0,6884.0780935825715
81,20,MRT,"{'groups': [{'group': 4.0, 'sum': 7368.834275599028}]}","{'groups': [{'group': 4.0, 'sum': 6884.0780935825715}]}",20,1,,,,
82,20,MRT,"{'groups': [{'group': 4.0, 'sum': 7368.834275599028}]}","{'groups': [{'group': 4.0, 'sum': 6884.0780935825715}]}",20,2,,,,
83,20,MRT,"{'groups': [{'group': 4.0, 'sum': 7368.834275599028}]}","{'groups': [{'group': 4.0, 'sum': 6884.0780935825715}]}",20,3,,,,
84,21,GNQ,"{'groups': [{'group': 3.0, 'sum': 133.59471938721248}, {'group': 4.0, 'sum': 3580.735699417939}]}","{'groups': [{'group': 3.0, 'sum': 127.8008087499999}, {'group': 4.0, 'sum': 3535.9290025610458}]}",21,0,3.0,133.59471938721248,3.0,127.8008087499999
85,21,GNQ,"{'groups': [{'group': 3.0, 'sum': 133.59471938721248}, {'group': 4.0, 'sum': 3580.735699417939}]}","{'groups': [{'group': 3.0, 'sum': 127.8008087499999}, {'group': 4.0, 'sum': 3535.9290025610458}]}",21,1,4.0,3580.735699417939,4.0,3535.9290025610458
86,21,GNQ,"{'groups': [{'group': 3.0, 'sum': 133.59471938721248}, {'group': 4.0, 'sum': 3580.735699417939}]}","{'groups': [{'group': 3.0, 'sum': 127.8008087499999}, {'group': 4.0, 'sum': 3535.9290025610458}]}",21,2,,,,
87,21,GNQ,"{'groups': [{'group': 3.0, 'sum': 133.59471938721248}, {'group': 4.0, 'sum': 3580.735699417939}]}","{'groups': [{'group': 3.0, 'sum': 127.8008087499999}, {'group': 4.0, 'sum': 3535.9290025610458}]}",21,3,,,,
88,22,MUS,"{'groups': [{'group': 4.0, 'sum': 529.3084859804948}]}","{'groups': [{'group': 4.0, 'sum': 492.2516627500007}]}",22,0,4.0,529.3084859804948,4.0,492.2516627500007
89,22,MUS,"{'groups': [{'group': 4.0, 'sum': 529.3084859804948}]}","{'groups': [{'group': 4.0, 'sum': 492.2516627500007}]}",22,1,,,,
90,22,MUS,"{'groups': [{'group': 4.0, 'sum': 529.3084859804948}]}","{'groups': [{'group': 4.0, 'sum': 492.2516627500007}]}",22,2,,,,
91,22,MUS,"{'groups': [{'group': 4.0, 'sum': 529.3084859804948}]}","{'groups': [{'group': 4.0, 'sum': 492.2516627500007}]}",22,3,,,,
92,23,SUR,"{'groups': [{'group': 4.0, 'sum': 8656.745786945063}]}","{'groups': [{'group': 4.0, 'sum': 8579.106283953333}]}",23,0,4.0,8656.745786945063,4.0,8579.106283953333
93,23,SUR,"{'groups': [{'group': 4.0, 'sum': 8656.745786945063}]}","{'groups': [{'group': 4.0, 'sum': 8579.106283953333}]}",23,1,,,,
94,23,SUR,"{'groups': [{'group': 4.0, 'sum': 8656.745786945063}]}","{'groups': [{'group': 4.0, 'sum': 8579.106283953333}]}",23,2,,,,
95,23,SUR,"{'groups': [{'group': 4.0, 'sum': 8656.745786945063}]}","{'groups': [{'group': 4.0, 'sum': 8579.106283953333}]}",23,3,,,,
96,24,MEX,"{'groups': [{'group': 2.0, 'sum': 247.29219879523646}, {'group': 3.0, 'sum': 152596.9241633779}, {'group': 4.0, 'sum': 898675.7451323484}]}","{'groups': [{'group': 2.0, 'sum': 222.0727962499997}, {'group': 3.0, 'sum': 135748.5773217779}, {'group': 4.0, 'sum': 805813.2656105192}]}",24,0,2.0,247.29219879523646,2.0,222.0727962499997
